,model_name,mode,image_type,epoch,learning_rate,batch_size,batch_index,loss_batch,avg_train_loss_till_current_batch,avg_train_acc_till_current_batch,avg_val_loss_till_current_batch,avg_val_acc_till_current_batch
0,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,1,0.6990680694580078,0.6990680694580078,0.46875,,
1,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,2,0.6935669183731079,0.6963174939155579,0.484375,,
2,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,3,0.7043600082397461,0.6989983320236206,0.4791666666666667,,
3,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,4,0.7090088129043579,0.7015009522438049,0.453125,,
4,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,5,0.713979184627533,0.7039965987205505,0.45625,,
5,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,6,0.7041438817977905,0.7040211459000906,0.4583333333333333,,
6,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,7,0.681159257888794,0.7007551618984768,0.48660714285714285,,
7,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,8,0.6921919584274292,0.6996847614645958,0.48828125,,
8,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,9,0.7101746797561646,0.7008503079414368,0.4791666666666667,,
9,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,10,0.6923791170120239,0.7000031888484954,0.48125,,
10,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,11,0.6921778917312622,0.6992917982014742,0.48011363636363635,,
11,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,12,0.6952255368232727,0.6989529430866241,0.4765625,,
12,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,13,0.6918236017227173,0.6984045322124774,0.47836538461538464,,
13,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,14,0.6920039057731628,0.6979473446096692,0.4799107142857143,,
14,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,15,0.6875110864639282,0.6972515940666199,0.4875,,
15,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,16,0.6903347969055176,0.696819294244051,0.490234375,,
16,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,17,0.6927675008773804,0.6965809534577763,0.49080882352941174,,
17,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,18,0.6686484217643738,0.6950291461414762,0.5034722222222222,,
18,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,19,0.6902337074279785,0.6947767546302394,0.5049342105263158,,
19,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,20,0.7212205529212952,0.6960989445447922,0.5,,
20,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,21,0.7193561792373657,0.6972064319111052,0.4955357142857143,,
21,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,22,0.6934619545936584,0.6970362283966758,0.49573863636363635,,
22,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,23,0.6931775808334351,0.6968684611113175,0.49592391304347827,,
23,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,24,0.6905437707901001,0.6966049323479334,0.4947916666666667,,
24,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,25,0.6944425702095032,0.6965184378623962,0.49,,
25,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,26,0.6912360191345215,0.6963152679113241,0.4891826923076923,,
26,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,27,0.6876659393310547,0.6959949224083511,0.5011574074074074,,
27,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,28,0.6892476081848145,0.6957539469003677,0.5078125,,
28,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,29,0.6898455023765564,0.6955502074340294,0.5053879310344828,,
29,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,30,0.6712098717689514,0.6947388629118602,0.5166666666666667,,
30,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,31,0.6469507217407227,0.6931973099708557,0.5241935483870968,,
31,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,32,0.7490736842155457,0.6949434466660023,0.5224609375,,
32,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,33,0.6887995600700378,0.6947572682843064,0.5227272727272727,,
33,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,34,0.7061639428138733,0.6950927587116466,0.5174632352941176,,
34,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,35,0.68819260597229,0.6948956114905221,0.51875,,
35,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,36,0.7219486236572266,0.6956470840507083,0.515625,,
36,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,37,0.7021909356117249,0.6958239449037088,0.5143581081081081,,
37,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,38,0.6937256455421448,0.6957687264994571,0.5139802631578947,,
38,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,39,0.6944843530654907,0.6957357938473041,0.5128205128205128,,
39,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,40,0.6955768465995789,0.695731820166111,0.51171875,,
40,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,41,0.7029971480369568,0.6959090232849121,0.5091463414634146,,
41,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,42,0.7002587914466858,0.6960125891935258,0.5066964285714286,,
42,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,43,0.693858802318573,0.6959625011266664,0.5043604651162791,,
43,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,44,0.6856560111045837,0.6957282627170737,0.5063920454545454,,
44,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,45,0.69155353307724,0.6956354909472995,0.5069444444444444,,
45,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,46,0.6918888092041016,0.6955540413441865,0.5074728260869565,,
46,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,47,0.6770432591438293,0.6951601949143917,0.5093085106382979,,
47,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,48,0.7135294675827026,0.6955428880949815,0.5084635416666666,,
48,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,49,0.7152822017669678,0.6959457312311444,0.5076530612244898,,
49,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,50,0.6755985617637634,0.6955387878417969,0.509375,,
50,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,51,0.7325462102890015,0.6962644235760558,0.5073529411764706,,
51,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,52,0.6851009130477905,0.6960497406812814,0.5084134615384616,,
52,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,53,0.6925349831581116,0.695983424501599,0.5088443396226415,,
53,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,54,0.7062989473342896,0.6961744527022043,0.5081018518518519,,
54,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,55,0.7022956609725952,0.6962857473980296,0.5073863636363637,,
55,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,56,0.6996340751647949,0.6963455389652934,0.5066964285714286,,
56,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,57,0.6816561222076416,0.6960878298993696,0.5087719298245614,,
57,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,58,0.7000935077667236,0.6961568933108757,0.5070043103448276,,
58,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,59,0.6914501786231995,0.6960771184856609,0.5079449152542372,,
59,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,60,0.6923801898956299,0.6960155030091604,0.5098958333333333,,
60,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,61,0.6922595500946045,0.695953930010561,0.5112704918032787,,
61,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,62,0.6932687759399414,0.6959106210739382,0.5110887096774194,,
62,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,63,0.6941729784011841,0.6958830394442119,0.5104166666666666,,
63,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,64,0.6896839141845703,0.69578617811203,0.51171875,,
64,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,65,0.6931324005126953,0.695745350764348,0.5115384615384615,,
65,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,66,0.6945275068283081,0.6957268985834989,0.5108901515151515,,
66,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,67,0.697007417678833,0.6957460108088024,0.5097947761194029,,
67,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,68,0.6977311372756958,0.6957752038450802,0.5082720588235294,,
68,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,69,0.6954944133758545,0.69577113441799,0.5072463768115942,,
69,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,70,0.6923658847808838,0.6957224879946028,0.5075892857142857,,
70,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,71,0.6934683322906494,0.6956907393227161,0.5061619718309859,,
71,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,72,0.692625105381012,0.6956481610735258,0.5082465277777778,,
72,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,73,0.6927434206008911,0.6956083701081472,0.5081335616438356,,
73,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,74,0.6976157426834106,0.6956354967645697,0.5063344594594594,,
74,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,75,0.6934340000152588,0.6956061434745788,0.50625,,
75,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,76,0.6960747241973877,0.6956123090104053,0.5053453947368421,,
76,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,77,0.6926077008247375,0.6955732881248772,0.505275974025974,,
77,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,78,0.6902929544448853,0.6955055915392362,0.5060096153846154,,
78,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,79,0.6922252774238586,0.6954640685757504,0.5063291139240507,,
79,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,80,0.6950545310974121,0.6954589493572712,0.505859375,,
80,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,81,0.6919996738433838,0.6954162422521615,0.5061728395061729,,
81,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,82,0.6977230310440063,0.6954443738227938,0.5045731707317073,,
82,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,83,0.6931505799293518,0.6954167377517884,0.5045180722891566,,
83,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,84,0.6946816444396973,0.6954079866409302,0.5029761904761905,,
84,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,85,0.6926296949386597,0.6953753008561976,0.5051470588235294,,
85,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,86,0.6936333179473877,0.6953550452409789,0.5047238372093024,,
86,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,87,0.6905758380889893,0.6953001118254387,0.5057471264367817,,
87,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,88,0.6930571794509888,0.6952746239575472,0.5056818181818182,,
88,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,89,0.6954529285430908,0.6952766273798567,0.5052668539325843,,
89,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,90,0.6956661939620972,0.6952809558974372,0.5048611111111111,,
90,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,91,0.6911537051200867,0.6952356014932904,0.5051510989010989,,
91,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,92,0.6977264881134033,0.695262676347857,0.5044157608695652,,
92,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,93,0.6979180574417114,0.6952912288327371,0.5036962365591398,,
93,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,94,0.6918901801109314,0.6952550474633562,0.5039893617021277,,
94,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,95,0.7003173232078552,0.6953083345764561,0.5026315789473684,,
95,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,96,0.6946436166763306,0.6953014104316632,0.5022786458333334,,
96,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,97,0.6950254440307617,0.6952985654172209,0.5012886597938144,,
97,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,98,0.6924265027046204,0.6952692586548475,0.5022321428571429,,
98,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,99,0.6931958198547363,0.6952483148285837,0.5018939393939394,,
99,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,100,0.6916497945785522,0.6952123296260834,0.5021875,,
100,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,101,0.6853605508804321,0.695114787262265,0.5037128712871287,,
101,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,102,0.6960294246673584,0.6951237542956483,0.5033700980392157,,
102,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,103,0.6800577044487,0.6949774819670371,0.5048543689320388,,
103,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,104,0.7019805908203125,0.6950448195521648,0.5042067307692307,,
104,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,105,0.6949923634529114,0.6950443199702672,0.5041666666666667,,
105,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,106,0.7080137729644775,0.6951666733004013,0.5032429245283019,,
106,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,107,0.6866059303283691,0.6950866663567373,0.5037967289719626,,
107,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,108,0.6825480461120605,0.6949705680211385,0.5046296296296297,,
108,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,109,0.69007408618927,0.69492564616947,0.5048738532110092,,
109,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,110,0.7106198668479919,0.6950683209029112,0.5036931818181818,,
110,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,111,0.7010424137115479,0.6951221415588448,0.5030968468468469,,
111,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,112,0.6910145282745361,0.6950854664402348,0.5033482142857143,,
112,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,113,0.6957707405090332,0.6950915308125252,0.5027654867256637,,
113,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,114,0.6926146745681763,0.6950698040033642,0.5027412280701754,,
114,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,115,0.6885231137275696,0.6950128762618355,0.5048913043478261,,
115,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,116,0.6919190883636475,0.6949862056765063,0.5048491379310345,,
116,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,117,0.6869235038757324,0.6949172936953031,0.5066773504273504,,
117,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,118,0.699657678604126,0.6949574664487677,0.5052966101694916,,
118,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,119,0.6919082403182983,0.6949318426997722,0.5052521008403361,,
119,n_heads=8_depth=3_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,120,0.6886945962905884,0.6948798656463623,0.50546875,,
