,model_name,mode,image_type,epoch,learning_rate,batch_size,batch_index,loss_batch,avg_train_loss_till_current_batch,avg_train_acc_till_current_batch,avg_val_loss_till_current_batch,avg_val_acc_till_current_batch
0,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,1,0.7009588479995728,0.7009588479995728,0.375,,
1,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,2,0.6940632462501526,0.6975110471248627,0.453125,,
2,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,3,0.679972767829895,0.6916649540265402,0.5104166666666666,,
3,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,4,0.6821252107620239,0.6892800182104111,0.5234375,,
4,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,5,0.684969425201416,0.6884178996086121,0.53125,,
5,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,6,0.7199612855911255,0.6936751306056976,0.5208333333333334,,
6,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,7,0.730721116065979,0.6989674142428807,0.5,,
7,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,8,0.6988544464111328,0.6989532932639122,0.48828125,,
8,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,9,0.6855887174606323,0.6974683403968811,0.5034722222222222,,
9,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,10,0.6979111433029175,0.6975126206874848,0.5,,
10,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,11,0.685570478439331,0.696426971392198,0.5085227272727273,,
11,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,12,0.6707877516746521,0.6942903697490692,0.5208333333333334,,
12,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,13,0.6774010062217712,0.692991187939277,0.5264423076923077,,
13,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,14,0.6856145858764648,0.6924642877919334,0.5290178571428571,,
14,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,15,0.7158126831054688,0.6940208474795023,0.525,,
15,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,16,0.687342643737793,0.6936034597456455,0.52734375,,
16,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,17,0.7260326743125916,0.6955110606025247,0.5220588235294118,,
17,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,18,0.6940860748291016,0.6954318947262235,0.5225694444444444,,
18,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,19,0.7232497930526733,0.6968959946381418,0.5164473684210527,,
19,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,20,0.698509693145752,0.6969766795635224,0.515625,,
20,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,21,0.7155189514160156,0.6978596448898315,0.5089285714285714,,
21,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,22,0.6973010301589966,0.6978342533111572,0.5071022727272727,,
22,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,23,0.6963356733322144,0.6977690976598988,0.5027173913043478,,
23,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,24,0.7019319534301758,0.6979425499836603,0.4947916666666667,,
24,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,25,0.6911554336547852,0.6976710653305054,0.49625,,
25,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,26,0.7029958963394165,0.6978758665231558,0.49038461538461536,,
26,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,27,0.6931204795837402,0.6976997410809552,0.49074074074074076,,
27,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,28,0.6920293569564819,0.6974972273622241,0.49107142857142855,,
28,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,29,0.6970163583755493,0.6974806456730284,0.48814655172413796,,
29,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,30,0.6935670375823975,0.6973501920700074,0.4875,,
30,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,31,0.6926202178001404,0.6971976122548503,0.4899193548387097,,
31,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,32,0.6921231150627136,0.697039034217596,0.4912109375,,
32,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=192,train,original,1,0.001,32,33,0.6908315420150757,0.6968509283932772,0.49242424242424243,,
