,model_name,mode,image_type,epoch,learning_rate,batch_size,batch_index,loss_batch,avg_train_loss_till_current_batch,avg_train_acc_till_current_batch,avg_val_loss_till_current_batch,avg_val_acc_till_current_batch
0,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,1,0.7167384624481201,0.7167384624481201,0.46875,,
1,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,2,0.6805769205093384,0.6986576914787292,0.5625,,
2,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,3,0.7210650444030762,0.7061268091201782,0.53125,,
3,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,4,0.6828575134277344,0.7003094851970673,0.546875,,
4,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,5,0.7058277130126953,0.7014131307601928,0.5125,,
5,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,6,0.7019270658493042,0.701498786608378,0.5052083333333334,,
6,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,7,0.708505392074585,0.7024997302464077,0.4955357142857143,,
7,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,8,0.6959517002105713,0.7016812264919281,0.4921875,,
8,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,9,0.6909575462341309,0.700489706463284,0.5034722222222222,,
9,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,10,0.6899623274803162,0.6994369685649872,0.50625,,
10,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,11,0.7364770174026489,0.7028042457320474,0.4914772727272727,,
11,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,12,0.6923534870147705,0.7019333491722742,0.4947916666666667,,
12,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,13,0.6712205410003662,0.6995708254667429,0.5072115384615384,,
13,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,14,0.6896587610244751,0.6988628208637238,0.5089285714285714,,
14,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,15,0.6905758380889893,0.6983103553454081,0.5104166666666666,,
15,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,16,0.7213232517242432,0.6997486613690853,0.5,,
16,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,17,0.7011575102806091,0.699831534834469,0.4944852941176471,,
17,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,18,0.6911340951919556,0.6993483437432183,0.5017361111111112,,
18,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,19,0.6888219118118286,0.6987943210099873,0.5049342105263158,,
19,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,20,0.7054559588432312,0.6991274029016494,0.5,,
20,n_heads=8_depth=1_learning_rate=0.001_weight_decay=0.03_embed_dim=384,train,original,1,0.001,32,21,0.7089354991912842,0.6995944551059178,0.4955357142857143,,
